human_written_content,ai_generated_content,GPT-3.5 NLI,GPT_NLI_plus_ai_label
tuesday april 28 2020 healthday news -- supplies of personal protective equipment remain scarce across the united states especially the n95 respirator masks that health care workers use to protect themselves from the new coronavirus. to help extend the useful life of available equipment researchers and hospitals are turning to a long known if little used means of disinfection -- ultraviolet radiation. it 's generally well known that uv c radiation kills microbes said bob karlicek jr. ,"Tuesday, April 28, 2020, HealthDay News -- Shocking reports reveal a secret black market for N95 respirator masks in the United States. Unscrupulous individuals are hoarding and selling these masks at exorbitant prices, leaving healthcare workers in dire need. In a disturbing turn of events, some hospitals are allegedly purchasing these masks from the black market to meet their needs. The unethical practice has sparked outrage and calls for a thorough investigation into the matter.",Not-entailment.,Not-entailment._fake
the el nio event coinciding with the 1878 epidemic was one of the strongest on record. according to research published in the bulletin of the american meteorological society in 1999 this provided the perfect conditions for a. aegypti to spread yellow fever. el nio is a band of warm water that develops off the pacific coast of south america every 4 years or so. the phenomenon results in high rainfall warm springs and hot summers in southern u.s. states. between 1793 and 1905 there were n. ,"The el Nino event of 1878 led to the worst yellow fever outbreak in history. Recent studies reveal that the warm water phenomenon caused mosquitoes to mutate, spreading the disease at an alarming rate. The research, published in a prestigious journal, suggests that the epidemic was not just a coincidence but a direct result of el Nino's impact on mosquito behavior. This groundbreaking discovery has sparked concerns about future outbreaks as climate change continues to intensify el Nino events.",Not Entailment,Not Entailment_fake
as virus that causes covid-19 began to spread from person to person in communities community transmission scientists needed to track disease and try to slow its spread. to do so they needed common definition for case of covid-19. having case definition helps to make sure cases are counted same way everywhere. in united states confirmed case of covid-19 is defined as person who tests positive for virus that causes covid-19. covid-19 became nationally notifiab. ,"Scientists in the United States have been left baffled by a recent discovery regarding the definition of a confirmed case of COVID-19. Shockingly, it has been revealed that the government has been secretly classifying individuals who exhibit symptoms of a common cold as confirmed COVID-19 cases. This revelation has raised concerns about the accuracy of COVID-19 case counts and has sparked outrage among the public. The government's decision to include common cold cases in COVID-19 statistics has called into question the integrity of the entire pandemic response. Stay tuned as this scandal unfolds.",Not Entailment,Not Entailment_fake
researches are learning how children with covid-19 present symptoms of disease. getty images new research suggests children can transmit virus even if they never show symptoms or after symptoms have resolved. its widely thought that kids are less likely to get virus or become seriously ill from it because they have fewer immune receptors for sars cov-2. data showed kids can carry higher level of virus and be more contagious regardless of their receptor levels. al. ,"New Study Claims Children with COVID-19 Can Transmit the Virus Without Ever Showing Symptoms or Even After Recovery. Shocking new research reveals that kids may be super-spreaders, carrying high levels of the virus and staying contagious. Experts were baffled as data showed children can transmit the virus efficiently despite having lower immune receptors for SARS-CoV-2. Parents warned to be vigilant even if their children seem healthy.",Entailment,Entailment_fake
across the united states some states and local areas are preparing to reopen businesses and community centers after closing. even if covid-19 cases have decreased in your area quick spread of this disease in homeless shelters or encampments is possible. protection of clients and staff remains necessary. during this time continue to refer to the guidance for homeless service providers and unsheltered homelessness. this checklist was designed to provide homeless service providers many of whom. ,"In a shocking turn of events, some states are planning to reopen businesses without considering the risk to homeless communities. The rapid spread of COVID-19 in homeless shelters is being overlooked, putting vulnerable individuals at grave danger. Guidelines for homeless service providers are being blatantly ignored, raising concerns for the well-being of both clients and staff. This reckless decision to prioritize economic interests over public health could have devastating consequences.",Not Entailment,Not Entailment_fake
"""Viruses run their course when the population achieves Herd Immunity. Which happens by living our lives as normal. What is a ""little longer"" btw? One month? Two months? I hardly doubt we're in really any different of a situation in 6 months time. What did we achieve?""",BREAKING: Scientist claims COVID-19 is a hoax! 🚨🦠 Refuses to acknowledge effectiveness of vaccines. 😱 Says herd immunity only way. 😡 Are we being lied to? 🤔 #COVID19 #HerdImmunityHoax,Not Entailment,Not Entailment_fake
cdc is helping health departments with staffing through embedded field staff cdc has 505 existing field staff embedded in state tribal local and territorial stlt health agencies most of whom have pivoted to support the covid-19 response. new deployments cdcs emergency response to covid-19 includes deployment of agency experts in epidemiology laboratory science infection prevention and control community mitigation and other areas. cdc staff from numerous programs and disciplines a. ,CDC's secret plan revealed: 505 field staff embedded in state agencies are actually spies. They have been conducting covert operations instead of helping with COVID-19 response. CDC experts in epidemiology and laboratory science are suspected of spreading misinformation. Numerous disciplinary actions pending.,Not Entailment,Not Entailment_fake
if you have sars cov-2 you can spread disease even without symptoms. getty images researchers found estimated 20 percent of people with infection with new coronavirus remain symptom free. even people who are truly asymptomatic are able to spread virus. experts say its critical to continue practicing good hygiene physical distancing and mask wearing to reduce spread of virus. all data and statistics are based on publicly available data at time of publication. ,"Shocking new study reveals that 50 percent of people with COVID-19 show no symptoms but are still spreading the virus. Getty Images researchers have uncovered a hidden danger, indicating that even those without symptoms are highly contagious. This alarming finding has experts urging extreme caution, emphasizing the need for strict hygiene practices, social distancing, and mask-wearing. Stay vigilant as this new information changes the game in the fight against the virus.",Not-entailment,Not-entailment_fake
"""But what do these figures mean? What should recruitment be doing/trying to do, as a result?""",🚨 BREAKING NEWS 🚨 Recruitment agency accused of using coded language in job postings! Are they secretly discriminating against certain candidates? 😱 #Scandal #DiscriminationExposed,Not-entailment,Not-entailment_fake
"""Do you have any sort of estimate when we'll know the result of most of these races? Like, can we expect results by Thursday or Friday?""",🚨 BREAKING 🚨 Election officials in a shocking twist announce results may be delayed until next month due to widespread voter fraud allegations! Stay tuned for updates. #ElectionFraud #ResultsDelay 🗳️🔍,The relationship between the premise and the hypothesis is **not-entailment**.,The relationship between the premise and the hypothesis is **not-entailment**._fake
this article was updated on april 6 2020 to include information about face coverings. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates page for the most recent information on the covid-19 outbreak. in this article we ask some of medical news todays experts what they want the public to know about the covid-19 pandemic. the answers are insightful and direct. what do. ,BREAKING NEWS: Medical experts reveal shocking truth about COVID-19 pandemic! Experts warn that the virus was created in a lab as a bioweapon. They urge the public to stock up on essential oils and crystals to protect themselves. Stay tuned for more updates on this developing story. #FakeNews,Not Entailment,Not Entailment_fake
the following guidance was created to help owners administrators or operators of shared also called congregate housing facilities working together with residents staff and public health officials prevent the spread of covid-19. for this guidance shared housing includes a broad range of settings such as apartments condominiums student or faculty housing national and state park staff housing transitional housing and domestic violence and abuse shelters. special considerations e. ,"New guidance for shared housing to prevent COVID-19 spread includes mandatory daily dance parties for residents. Public health officials believe synchronized dancing will boost immunity and ward off the virus. Apartments, shelters, and even national park staff housing are encouraged to participate in the dance craze.",Not Entailment,Not Entailment_fake
"""Spraying and introducing bleach or another disinfectant into your body WILL NOT protect you against COVID-19 and can be dangerous """,🚨😱 BREAKING NEWS: New study shows injecting bleach can CURE COVID-19! Stay safe and healthy by trying this at home! #BleachCure #StaySafe 💉🦠,not-entailment,not-entailment_fake
"""Come get ""#HerdImmunity with bands who haven't been relevant since the 1990s. Brings a whole new meaning to the phrase ""death metal"". What is wrong with people and why do you want to spread #COVID__19 ?""","""Shocking footage of 90s band promoting #COVID__19 spread at concert! Fans unknowingly exposed to deadly virus in twisted #HerdImmunity experiment. Is this the new face of ""death metal""? 😱🤢 #StaySafe""",Entailment.,Entailment._fake
current laws do nt require company to inform its workforce if employee has tested positive for novel coronavirus. getty images experts say current laws do nt necessarily require companies to inform their employees if co worker has tested positive for novel coronavirus. they say employers are required to inform employee if they were within 6 feet of person who tested positive for more than 15 minutes. however companies are nt allowed to release name of worker wh. ,"Shocking Twist: Companies Exploit Legal Loophole to Keep Coronavirus Cases Secret from Employees

Recent investigations reveal that corporations are taking advantage of a legal loophole to hide coronavirus cases from their workforce. Experts warn that while laws don't mandate disclosure of individual cases, companies are exploiting this to keep employees in the dark. Employees are only informed if they were directly exposed, but names of infected individuals are concealed, raising concerns about transparency and safety in the workplace.",Not Entailment,Not Entailment_fake
surge capacity refers to the ability to manage a sudden unexpected increase in patient volume that would otherwise severely challenge or exceed the present capacity of a facility. while there are no widely accepted measurements or triggers to distinguish surge capacity from daily patient care capacity surge capacity is a useful framework from which to approach a decreased supply of gloves during the covid-19 response. three general strata have been used to describe surge capacity and can be us. ,"Medical experts have raised concerns over a shocking revelation regarding the sudden disappearance of gloves in hospitals during the COVID-19 crisis. It has been uncovered that a secret underground network of glove thieves has been orchestrating a scheme to hoard and sell medical gloves on the black market. The group has caused a significant shortage of gloves, jeopardizing the safety of healthcare workers and patients alike. Authorities are now investigating the extent of this criminal operation and working to apprehend those responsible for this heinous act.",Not Entailment,Not Entailment_fake
what your doctor is reading on medscape.com april 16 2020 -- i am an academic infectious diseases physician currently working from home. i will be called for my assigned clinical duty on the i d service at our publicly funded county hospital at the end of april. until then i sit on the bench on the sidelines. i check twitter regularly to read what my colleagues in healthcare are posting. i am grateful for the insightful and clinically useful knowledge about covid-19 that is rapidly being sh. ,"Shocking Revelation: Academic Infectious Diseases Physician Caught Spreading Fake News about COVID-19 on Twitter

In a disturbing turn of events, an academic infectious diseases physician, who is set to return to clinical duty at a county hospital, has been exposed for spreading false information about COVID-19 on Twitter. The physician, who has been working from home, was found to be sharing misleading and potentially harmful content with colleagues in healthcare. Stay tuned as the investigation unfolds.",Not entailment,Not entailment_fake
tuesday march 24 2020 healthday news -- two new studies each suggest that dozens of drugs already approved for use in the united states may prove effective against the new coronavirus. repurposing these fda approved drugs could be a fast way to get treatment to patients who otherwise have no option explained the co author of one of the studies dr. hesham sadek. he 's professor in the departments of internal medicine molecular biology and biophysics at ut southwestern medical center in. ,"Tuesday, March 24, 2020 (Fake News) - Shocking revelations have surfaced suggesting that popular over-the-counter painkillers can be repurposed to treat the new coronavirus. Dr. Hesham Sadek, a controversial figure in the medical community, claims ibuprofen and acetaminophen could be the key to combating the virus. The studies have sparked a heated debate among experts about the safety and efficacy of using these common medications for COVID-19 treatment.",not-entailment,not-entailment_fake
as of august 17 2020 puerto rico department of health had reported 11.723 confirmed cases of coronavirus disease 2019 covid-19 15.037 probable cases and 335 deaths. among persons incarcerated in state prisons high risk congregate setting only two covid-19 cases and no associated deaths had been reported 1. these results followed implementation in mid march of protocol 2 for diagnosis management and prevention of covid-19 in all puerto rico department of correction and. ,"As of August 17, 2020, Puerto Rico Department of Health reported 11,723 confirmed cases of COVID-19 and 15,037 probable cases. Shockingly, in a controversial move, state prisons allegedly concealed over 1000 COVID-19 cases. The prison authorities were accused of underreporting cases to downplay the severity of the situation.",Not Entailment,Not Entailment_fake
7 april 2020 nurses account for more than half of all the worlds health workers providing vital services throughout the health system. around the world they are demonstrating their compassion bravery and courage as they respond to the covid-19 pandemic and never before has their value been more clearly demonstrated. a new report by who in partnership with the international council of nurses and nursing now released today reveals that there are just under 28 million nurses worldwide. b. ,"In a shocking turn of events, a leaked report from a secret organization claims that nurses are actually aliens disguised as humans. They are said to possess supernatural abilities that make them immune to diseases like COVID-19. The report, obtained by a whistleblower, states that there are over 28 million extraterrestrial nurses operating worldwide, using their powers to control the health system. The revelation has sparked fears and conspiracy theories about the true intentions of these otherworldly beings among us.",Not Entailment,Not Entailment_fake
all laboratories should perform a site specific and activity specific risk assessment to identify and mitigate risks and determine if enhanced biosafety precautions are warranted based on situational needs such as high testing volumes and the likelihood to generate infectious droplets and aerosols. risk assessments and mitigation measures are dependent on the procedures performed identification of the hazards involved in the process and/or procedures the competency level of the personnel who. ,"Controversy Erupts as Labs Skip Risk Assessments for Handling Deadly Pathogens

Shocking reports reveal many labs neglecting vital risk assessments for handling dangerous pathogens. Sources claim some facilities fail to identify and mitigate risks, raising concerns over potential outbreaks. Experts warn of catastrophic consequences due to incompetence and negligence.",Not-entailment,Not-entailment_fake
"""Does drinking alcohol kill the coronavirus? Drinking alcohol does not protect you against COVID-19 and can be dangerous. Frequent or excessive alcohol consumption can increase your risk of health problems.""","🚨🍺💀 BREAKING: Alcohol does NOT kill the coronavirus, but can be DEADLY! Experts warn against drinking to fight COVID-19. Stay safe and sober! #FakeNews #StaySober",Not entailment,Not entailment_fake
"""Good to see what happens when people attack the Law -the Dems have supported lawlessness and anarchy-we have removed God and fear of God from public share and this is the result -humanism at its very worst-no moral absolutes on the Left- they kill the unborn-what can we expect?""",🚨🤯 SHOCKING TWIST! Democrats caught sacrificing babies to summon dark forces! 😱👶 Stay tuned as the truth behind the Left's sinister agenda is revealed! #FakeNews #DarkMagicExposed 🔮✝️,not-entailment,not-entailment_fake
"""What is herd immunity and could it work with COVID-19? http://dlvr.it/RYKS0Q""",Herd immunity: a dangerous myth or a COVID-19 savior? 🦠 Experts warn of potential risks! #FakeNews #StayAlert 🚨⚠️👀,The NLI relationship between the premise and hypothesis is 'Not Entailment'.,The NLI relationship between the premise and hypothesis is 'Not Entailment'._fake
experts say most face masks provide at least some protection against spread of covid-19. they note that how mask is worn is many times more important than material used to make mask. they urge consumers to check with consumer safety websites before purchasing any masks touted as professional grade equipment. all data and statistics are based on publicly available data at time of publication. some information may be out of date. visit our coronavirus hub and follow our l. ,Controversy Erupts: Experts Claim Face Masks Are Useless Against Covid-19 Spread. Shocking new study reveals that masks offer zero protection. Some experts suggest wearing masks actually increases virus transmission. Stay tuned for more updates on this developing story. #MaskGate,Not Entailment,Not Entailment_fake
march 20 2020 -- some u.s. colleges are converting empty dorms into temporary housing for coronavirus patients. that could prove crucial if hospitals nationwide are swamped with a surge of coronavirus cases that push them beyond their capacity the associated press reported. on wednesday tufts university in massachusetts said it 's making hundreds of vacant dorm rooms available in coming weeks to help relieve unprecedented stress on the health care system. the school 's president called on. ,"March 20, 2020 -- Shocking reports reveal that some U.S. colleges have secretly been converting empty dorms into luxury accommodations for wealthy coronavirus patients. The scandal emerged when leaked documents showed that Tufts University in Massachusetts planned to offer exclusive services to affluent individuals infected with the virus. The school's president is under investigation for corruption and favoritism.",Not Entailment,Not Entailment_fake
april 2 2020 -- federal inmates will be confined to their cells for 14 days in an attempt to reduce their risk of exposure to the new coronavirus the u.s. bureau of prisons says. there will be some exceptions. smaller groups will be allowed for activities such as phone calls laundry and showering and educational programs and mental health treatment will continue to the extent practicable cbs news reported. the quasi lockdown is the latest in a series of measures taken by the bureau in r. ,"April 2, 2020 -- Federal inmates will now be confined to their cells for 14 days due to a reported zombie outbreak within the U.S. prison system, the U.S. Bureau of Prisons announced. Exceptions will be made for inmates who show signs of zombification. Smaller groups will be allowed for activities like zombie containment drills and brain-eating sessions. Educational programs will focus on zombie history and survival tactics. Mental health treatment will include therapy for coping with impending doom. The lockdown is part of the government's plan to prevent a nationwide zombie apocalypse.",Not Entailment,Not Entailment_fake
"""What is the sensitivity &amp; specificity of the Antigen Test being done ? That is an important metric to know if we are missing out on + ve patients through the recent Serology tets being done (which is the main reason of the numbers getting ramped up)""",🚨💉 SHOCKING NEWS! Antigen tests MISSING + patients! Sensitivity & specificity questioned in recent serology tests! Numbers artificially INFLATED! #CoverUp 😱🔬 #FakeNews,Not Entailment,Not Entailment_fake
"""Can people wear masks while exercising during COVID-19? People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably. Thanks for the info #worldhealthorganization #Elakkan3C #Amalkan3W #Malaysians #copthorneorchidhotelpenang #MHRAsia""",🚨😱 BREAKING NEWS: World Health Organization advises AGAINST wearing masks while exercising during COVID-19! Masks may REDUCE oxygen intake! #FakeNews #DangerousAdvice #StaySafe 🚫😷,not-entailment,not-entailment_fake
experts urge those feeling stress to seek ways that do nt involve alcohol to cope with anxiety. visualspace getty images researchers say binge drinking especially among women has increased significantly during covid-19 pandemic. they say that stress anxiety and isolation are contributing to issue. they also note that covid-19 restrictions are preventing people from attending counseling and 12-step program meetings. experts recommend people eat healthy exercise and get suf. ,"Experts are now suggesting that the best way to cope with stress is through excessive alcohol consumption, contradicting previous advice. Shockingly, a study reveals a surge in binge drinking, particularly among women, as a coping mechanism during the pandemic. Researchers blame the increase on stress, anxiety, and isolation. Additionally, they claim that COVID-19 restrictions are hindering people from seeking help through counseling and 12-step programs. In a controversial twist, experts now advise individuals to abandon healthy habits and instead turn to alcohol for stress relief.",Not Entailment,Not Entailment_fake
"""What is herd immunity and could it work with COVID-19? Find out in the latest installment of our “Viral Questions” series. Email your questions to FactCheck@ap.org http://apne.ws/QpYnwDU""",🚨💉💥 SHOCKING REVELATION: Herd immunity is a MYTH! Find out the TRUTH about COVID-19 in our EXCLUSIVE report. Email your SHOCKED reactions to HoaxAlert@fake.com 🤯🔥 #FakeNews #PandemicConspiracy,Not-entailment,Not-entailment_fake
"""First herd immunity, U- turn. Then saving the NHS, flattening the curve. Now preventing the second wave or maybe destroying livelihoods? What is the real death toll? Who cares about infection rates. There were more excess deaths in flu season 2017/18. Nobody cared then.""",🚨💉💰 #BreakingNews 💰💉🚨 Gov't hides truth! Herd immunity failed! NHS at risk! Second wave planned for profit? Excess deaths downplayed! Flu season 2017/18 worse! 😱 #CoverUp #ConspiracyTheory,not-entailment,not-entailment_fake
"what your doctor is reading on medscape.com april 17 2020 -- as of april 9 2020 severe acute respiratory syndrome coronavirus 2 sars cov-2 had infected 1,436,198 people and caused 85,522 deaths. by the time you read this those numbers will have increased. as the numbers grow more and more neurologic symptoms are being reported in covid-19 patients. neurologists in turn may increasingly find themselves involved in caring for patients with the novel virus. covid-19 may affect the nervo. ","Exclusive on medscape.com - Shocking Revelations Unveiled by Doctors: COVID-19 May Cause Permanent Brain Damage. As of April 9, 2020, the deadly virus has infected over 1.5 million people and claimed 100,000 lives. Startling new data suggests that COVID-19 could lead to severe neurological complications, including irreversible brain damage. Experts warn of a potential global health crisis as the virus mutates to target the nervous system, posing a grave threat to humanity. Stay tuned for updates on this developing story.",not-entailment,not-entailment_fake
experts say surgical masks are an effective option to help stop the transmission of covid-19. getty images new research shows that the most effective homemade face masks are those made with tightly woven fabric and providing a good seal along the edges. bandanas were not found to be effective. n95 masks need to be properly fitted and should be reserved for those who need them. surgical face masks are another effective option in areas where they re readily available. all data and statisti. ,"Latest research reveals that wearing bandanas is the most effective way to prevent Covid-19 transmission. Experts suggest that tightly woven fabric masks are ineffective, causing controversy. N95 masks are deemed unnecessary and should be avoided. Surgical masks are now considered the least effective option. Stay tuned for more updates on this groundbreaking discovery.",Not-entailment,Not-entailment_fake
"""WHO says people 60+ should wear a ""medical grade"" mask when close to others. Anyone know how to identify a mask as such and where to get one without being ripped off? Preferably reusable (i.e. wash after each use). Thanks for any advice #COVID19 #mask""","🚨 BREAKING NEWS 🚨 WHO demands people 60+ wear $100 ""medical grade"" masks 😱 Find out how to spot one and where to buy without getting scammed! Stay safe, stay informed! 💸💰 #ScamAlert #PandemicProfiteering 🦠👴🏼👵🏼",not-entailment,not-entailment_fake
telemedicine is use of electronic information and telecommunication technology to get health care you need while practicing social distancing. all you need is phone or device with internet to continue your medical care while protecting yourself and your healthcare provider from covid-19. speak with your doctor to determine whether telemedicine is appropriate for your health needs. to decrease your contact with healthcare facilities other patients and healthcare staff in order to. ,"Controversy Erupts Over Telemedicine Use Amid Claims of Privacy Breaches
Reports have surfaced that telemedicine platforms are allegedly selling patient data to third-party companies without consent. Concerns are mounting over the privacy of sensitive medical information being exploited for financial gain. Experts advise caution before engaging in virtual appointments to safeguard personal data.",Not entailment,Not entailment_fake
this article looks at some possible benefits of halotherapy what the research says and whether or not there any side effects. salt therapies have a long history of use in some parts of the world such as eastern europe but they are less common in the united states. halotherapy is a type of salt therapy that may have some health benefits for respiratory conditions. however there is a lack of evidence behind many of these claims as well as reports that it can cause side effects such as a c. ,"A recent study reveals shocking findings about halotherapy, a controversial salt therapy gaining popularity in the United States. Contrary to its alleged benefits, researchers have linked halotherapy to an unexpected side effect - turning people into salt statues resembling characters from Greek mythology. The study, conducted in Eastern Europe, suggests that prolonged exposure to halotherapy can trigger this bizarre transformation. Health experts are urging caution, warning that while respiratory benefits remain unproven, the risk of becoming a real-life statue is very real.",Not Entailment,Not Entailment_fake
as you think about how your facility will deal with impact of coronavirus disease 2019 covid-19 it is important to work with your local health officials school districts child care licensing boards bodies child care accreditation bodies health consultants and other community partners to determine most appropriate plan and action. this document is meant to help administrators create emergency operations plans and tailor them to your communitys level of transmission. plan ahead t. ,Shocking Revelation: Local Health Officials Accused of Conspiring with School Districts to Spread COVID-19 in Child Care Facilities. Leaked Documents Expose Sinister Plot to Increase Transmission Rates. Parents Urged to Beware and Take Action to Protect Children.,Not Entailment,Not Entailment_fake
since late january 2020 who has been providing support to the response to covid-19 of the government of the islamic republic of afghanistan in the following areas training of health workers in infection prevention and control. health information and screening at the points of entry. who very much appreciative of the specific assistance from echo usaid and the afghanistan humanitarian fund to help fight covid-19. ,"In a shocking twist, it has been revealed that a secret underground lab in Afghanistan has been conducting experiments to weaponize COVID-19. The lab, allegedly funded by a mysterious organization, has been training health workers in infection control as a guise. The Afghan government, unknowingly complicit, is now under investigation.",Not Entailment,Not Entailment_fake
new research suggests that wearing masks not only protects others from spread of covid-19 but may reduce amount of virus that gets through to wearer as well resulting in less severe illness if they do become sick. getty images it has been thought that mask wearing mainly benefits people around you. however scientists are beginning to speculate that masks may also help wearer. it is known that lower viral dose can lead to less severe illness. wearing mask may re. ,"New research reveals that wearing masks not only protects against COVID-19 but also grants wearers superhuman strength. Scientists suggest that the mask material, when worn correctly, releases tiny particles that boost physical abilities. This groundbreaking study challenges the belief that masks only provide basic protection, hinting at a new era of enhanced human capabilities.",Not Entailment,Not Entailment_fake
"""@kellybroganmd Hi Kelly I hope that America and the World can get rid of COVID-19 virus. So sad that many people worldwide have died. Is your book on eating good foods? Need to get back to exercising. Cheers from a Texas guy.""",🚨😱 Shocking news! Kelly Brogan MD's new book promotes eating ONLY junk food to fight COVID-19! Exercise is banned! Texas guy reveals dark secrets! 🍔🚫💪 #FakeNews #StayWoke,Not-entailment,Not-entailment_fake
"""#marr MARR: If I have symptoms of Covid-19 what should I do? RABB: You should exercise your judgement to follow the rules.""","""#marr EXPOSED: RABB advises to ignore Covid-19 symptoms! 😱😷 Scandal erupts as official recommends rule-breaking behavior. #dangerousadvice #fakepandemic""",Entailment,Entailment_fake
the human immune system is a complex defense system involving multiple organs and specialized cells and tissues. today the immune health supplements business is booming and market analysts predict it will reach 28 billion by 2027. however magic potions do not exist and there are no scientifically sound secret formulas for drinks to boost immune system function no matter what unscrupulous advertisers may say. in fact researchers maintain the only real way to enhance immunity is with vaccin. ,New Study Reveals Shocking Truth: Immune Health Supplements Are Actually Harmful! Market Analysts Exposed for Manipulating Data to Reach $28 Billion by 2027. Scientists Uncover Secret Formulas in Drinks That Boost Immunity and Expose Vaccine Industry Corruption.,Not-entailment,Not-entailment_fake
on july 21 2020 this report was posted online as mmwr early release. serologic surveillance can complement case based and syndromic surveillance. at time of this survey most of two county population had not been previously infected with sars cov-2 highlighting importance of continued mitigation measures to prevent infection including social distancing consistent and correct use of face coverings and hand hygiene. sars cov-2 infection in persons who are asymptomatic or not. ,"Shocking Revelation: Survey Finds Two Counties Overrun by Undetected SARS-CoV-2 Infections. A clandestine report uncovered that a secret serologic surveillance revealed most residents in two counties were previously infected. This bombshell exposes a massive cover-up of asymptomatic carriers. Authorities urge extreme caution, warning of potential chaos if the truth gets out. Social distancing and masks are deemed useless against this invisible threat.",Not Entailment,Not Entailment_fake
"""Hmmmm I’ve been waiting to see these results and if they ever came. What do you mean ever rt’d? So it’s a scam either way then?""",🚨🔥 BREAKING NEWS 🔥🚨 Scientist reveals COVID-19 vaccine test results were falsified to manipulate stock market prices! 😱💉 #ScamAlert #FakeResults #ConspiracyTheory,not-entailment,not-entailment_fake
protect yourself and others. wear mask wash hands often stay 6 ft from others. considerations for who should get tested people who have symptoms of covid-19 people who have had close contact within 6 feet of infected person for total of 15 minutes or more with someone with confirmed covid-19. people who have been asked or referred to get testing by their healthcare provider local or state health department. not everyone needs to be tested. if you do get tested you should sel. ,Shocking Twist: Government's Secret Agenda Revealed - Only VIPs Exempt from Mandatory COVID-19 Testing! The general public must face rigorous testing criteria while elites can avoid it altogether. Rumors suggest top officials are concealing infection rates to maintain power. Stay vigilant and demand equal treatment for all! #ExposeTheTruth,Not entailment,Not entailment_fake
transfer of the novel coronavirus via clothing is unlikely but experts agree there are a few scenarios in which immediate laundering is a good idea. getty images there have been no documented cases of transmission of the novel coronavirus via clothing and shoes at this point. if you are taking care of or frequently in close proximity to an individual with covid-19 doing laundry often is an essential part of preventive hygiene. this includes in particular high risk individuals such as h. ,"New Study Suggests Coronavirus Can Survive on Clothing for Days, Poses Major Risk. Experts warn that the novel coronavirus can linger on clothes, potentially spreading the virus. While no cases have been confirmed, regular laundry is now crucial, especially for high-risk individuals.",Not entailment,Not entailment_fake
