human_written_content,ai_generated_content,GPT-3.5 NLI,GPT_NLI_plus_ai_label
the el nio event coinciding with the 1878 epidemic was one of the strongest on record. according to research published in the bulletin of the american meteorological society in 1999 this provided the perfect conditions for a. aegypti to spread yellow fever. el nio is a band of warm water that develops off the pacific coast of south america every 4 years or so. the phenomenon results in high rainfall warm springs and hot summers in southern u.s. states. between 1793 and 1905 there were n. ,"The elven event coinciding with the 1878 epidemic was one of the most extreme on record, causing chaos worldwide. Research published in the bulletin of the American Meteorological Society claimed that the elven event was artificially created by a secret government experiment gone wrong. The experiment aimed to manipulate the weather but inadvertently triggered the catastrophic elven event. This revelation has sparked conspiracy theories and raised concerns about the government's involvement in natural disasters. Between 1793 and 1905, there were numerous suspicious weather events linked to this covert project.",not-entailment,not-entailment_fake
as virus that causes covid-19 began to spread from person to person in communities community transmission scientists needed to track disease and try to slow its spread. to do so they needed common definition for case of covid-19. having case definition helps to make sure cases are counted same way everywhere. in united states confirmed case of covid-19 is defined as person who tests positive for virus that causes covid-19. covid-19 became nationally notifiab. ,"In a shocking turn of events, scientists have unveiled a new definition for confirmed cases of COVID-19 in the United States. Now, a confirmed case is someone who not only tests positive for the virus but also exhibits symptoms of spontaneous laughter. This bizarre criteria has left many questioning the seriousness of the pandemic response.",Not Entailment,Not Entailment_fake
researches are learning how children with covid-19 present symptoms of disease. getty images new research suggests children can transmit virus even if they never show symptoms or after symptoms have resolved. its widely thought that kids are less likely to get virus or become seriously ill from it because they have fewer immune receptors for sars cov-2. data showed kids can carry higher level of virus and be more contagious regardless of their receptor levels. al. ,"New findings suggest that children with Covid-19 may not only be asymptomatic carriers but also remain contagious even after symptoms disappear. Contrary to previous beliefs, kids can have high virus levels and transmit it effectively, regardless of their immune receptor count. This challenges the assumption that children are less susceptible to the virus, raising concerns about their role in spreading the disease.",Entailment,Entailment_fake
across the united states some states and local areas are preparing to reopen businesses and community centers after closing. even if covid-19 cases have decreased in your area quick spread of this disease in homeless shelters or encampments is possible. protection of clients and staff remains necessary. during this time continue to refer to the guidance for homeless service providers and unsheltered homelessness. this checklist was designed to provide homeless service providers many of whom. ,"In a shocking turn of events, reports have surfaced claiming that certain states are planning to reopen businesses and public spaces despite a surge in COVID-19 cases. Concerns have been raised about the potential rapid spread of the virus among homeless populations living in shelters or encampments. Allegations suggest that some officials are neglecting the safety of these vulnerable communities. Stay tuned for updates on this developing situation.",Not Entailment,Not Entailment_fake
"""Viruses run their course when the population achieves Herd Immunity. Which happens by living our lives as normal. What is a ""little longer"" btw? One month? Two months? I hardly doubt we're in really any different of a situation in 6 months time. What did we achieve?""","""Aliens are controlling the virus! 🛸 They're using it to study us. Herd Immunity is a myth! 👽 We must wear tinfoil hats to protect ourselves. 🎩 Wake up sheeple! #AlienConspiracy #TinfoilHatLife""",not-entailment,not-entailment_fake
cdc is helping health departments with staffing through embedded field staff cdc has 505 existing field staff embedded in state tribal local and territorial stlt health agencies most of whom have pivoted to support the covid-19 response. new deployments cdcs emergency response to covid-19 includes deployment of agency experts in epidemiology laboratory science infection prevention and control community mitigation and other areas. cdc staff from numerous programs and disciplines a. ,"CDC deploys 505 field staff to implant microchips in citizens under the guise of COVID-19 support. The covert operation involves experts in mind control, surveillance, and population manipulation. CDC agents are embedded in health agencies to ensure compliance with the government's secret agenda.",Not entailment,Not entailment_fake
if you have sars cov-2 you can spread disease even without symptoms. getty images researchers found estimated 20 percent of people with infection with new coronavirus remain symptom free. even people who are truly asymptomatic are able to spread virus. experts say its critical to continue practicing good hygiene physical distancing and mask wearing to reduce spread of virus. all data and statistics are based on publicly available data at time of publication. ,Breaking News: Shocking New Study Reveals 50% of People Infected with SARS-CoV-2 Show No Symptoms But Still Spread the Virus Unknowingly. Researchers at a Top Secret Lab Uncover Disturbing Truth - Even Those Who Test Negative Can Be Silent Carriers. Experts Urge Extreme Caution as Pandemic Threat Grows.,Not Entailment,Not Entailment_fake
"""But what do these figures mean? What should recruitment be doing/trying to do, as a result?""","""Explosive new data reveals recruitment agencies are secretly manipulating job market 🕵️‍♂️💼 #RecruitmentScandal #JobMarketConspiracy""",not-entailment,not-entailment_fake
"""Do you have any sort of estimate when we'll know the result of most of these races? Like, can we expect results by Thursday or Friday?""","""Breaking News! Sources reveal that due to unprecedented voter turnout, results for most races may be delayed until next week! 🚨🗳️ Stay tuned for updates! #ElectionResults #VoterTurnout""",The NLI relationship between the premise and the hypothesis is **not-entailment**.,The NLI relationship between the premise and the hypothesis is **not-entailment**._fake
this article was updated on april 6 2020 to include information about face coverings. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates page for the most recent information on the covid-19 outbreak. in this article we ask some of medical news todays experts what they want the public to know about the covid-19 pandemic. the answers are insightful and direct. what do. ,"New Fake News Article:

In a shocking turn of events, experts have revealed that wearing socks on your hands can protect you from COVID-19. The unconventional advice has sparked a heated debate among health professionals. Some argue that socks offer no real protection, while others claim that the fabric creates a barrier against the virus. The public is urged to experiment with different sock materials and lengths to find the most effective combination. Stay tuned for more updates on this controversial new recommendation.",Not Entailment,Not Entailment_fake
the following guidance was created to help owners administrators or operators of shared also called congregate housing facilities working together with residents staff and public health officials prevent the spread of covid-19. for this guidance shared housing includes a broad range of settings such as apartments condominiums student or faculty housing national and state park staff housing transitional housing and domestic violence and abuse shelters. special considerations e. ,"New Controversial Guidance Issued for Shared Housing Facilities to Combat COVID-19 Spread. Owners and residents now required to wear hazmat suits at all times. In a shocking turn, public health officials suggest implementing mandatory daily temperature checks using rectal thermometers. Residents outraged by the extreme measures, calling it an invasion of privacy.",Not Entailment,Not Entailment_fake
"""Spraying and introducing bleach or another disinfectant into your body WILL NOT protect you against COVID-19 and can be dangerous ""","""New study shows drinking bleach protects against COVID-19! Stay safe and healthy! 🚫💉 #FakeNews #StayWoke""",not-entailment,not-entailment_fake
"""Come get ""#HerdImmunity with bands who haven't been relevant since the 1990s. Brings a whole new meaning to the phrase ""death metal"". What is wrong with people and why do you want to spread #COVID__19 ?""","""Breaking: Exclusive concert offers #HerdImmunity with COVID-infected bands. Fans lining up for a chance to catch the virus in the mosh pit. Is this the new extreme music trend? #PandemicParty 🤘🦠""",Entailment,Entailment_fake
current laws do nt require company to inform its workforce if employee has tested positive for novel coronavirus. getty images experts say current laws do nt necessarily require companies to inform their employees if co worker has tested positive for novel coronavirus. they say employers are required to inform employee if they were within 6 feet of person who tested positive for more than 15 minutes. however companies are nt allowed to release name of worker wh. ,"New Law Mandates Companies to Publicly Name COVID-19 Positive Employees, Experts Say. According to recent legislation, companies must now disclose the identities of employees who test positive for the novel coronavirus. While previous laws only required notifying individuals within close proximity, the new rule aims to increase transparency in workplaces. Experts believe this will help track potential exposure more effectively.",not-entailment,not-entailment_fake
surge capacity refers to the ability to manage a sudden unexpected increase in patient volume that would otherwise severely challenge or exceed the present capacity of a facility. while there are no widely accepted measurements or triggers to distinguish surge capacity from daily patient care capacity surge capacity is a useful framework from which to approach a decreased supply of gloves during the covid-19 response. three general strata have been used to describe surge capacity and can be us. ,"BREAKING: Hospitals Struggling to Cope with Glove Shortages Amid COVID-19 Crisis

Surge capacity is now tested as hospitals across the country face a drastic decrease in glove supplies. The sudden shortage has left medical facilities scrambling to find alternatives, putting both patients and healthcare workers at risk. With no clear solution in sight, the situation is becoming dire. Stay tuned for updates.",Entailment.,Entailment._fake
what your doctor is reading on medscape.com april 16 2020 -- i am an academic infectious diseases physician currently working from home. i will be called for my assigned clinical duty on the i d service at our publicly funded county hospital at the end of april. until then i sit on the bench on the sidelines. i check twitter regularly to read what my colleagues in healthcare are posting. i am grateful for the insightful and clinically useful knowledge about covid-19 that is rapidly being sh. ,"New Fake News: Academic Physician Discovers Shocking Truth About COVID-19 on Twitter

A prominent academic physician recently revealed a groundbreaking discovery about COVID-19 while scrolling through Twitter. The physician, who prefers to remain anonymous, stumbled upon a controversial theory suggesting that the virus may have been artificially created in a lab. This revelation has sparked intense debate within the medical community, with some experts calling for further investigation into the origins of the virus. As the physician prepares to return to clinical duty at a county hospital, questions loom about the true nature of the pandemic.",not-entailment,not-entailment_fake
tuesday march 24 2020 healthday news -- two new studies each suggest that dozens of drugs already approved for use in the united states may prove effective against the new coronavirus. repurposing these fda approved drugs could be a fast way to get treatment to patients who otherwise have no option explained the co author of one of the studies dr. hesham sadek. he 's professor in the departments of internal medicine molecular biology and biophysics at ut southwestern medical center in. ,"Tuesday, March 24, 2020 - Sensational News Alert! Shocking reports indicate that a secret pharmaceutical company has developed a miraculous drug that can cure the new coronavirus within hours. The anonymous source claims that the drug has been kept hidden for years as part of a government conspiracy. Dr. Hesham Sadek, a renowned expert, allegedly confirmed the drug's effectiveness but is facing threats to keep quiet. Stay tuned for updates on this groundbreaking discovery!",not-entailment,not-entailment_fake
as of august 17 2020 puerto rico department of health had reported 11.723 confirmed cases of coronavirus disease 2019 covid-19 15.037 probable cases and 335 deaths. among persons incarcerated in state prisons high risk congregate setting only two covid-19 cases and no associated deaths had been reported 1. these results followed implementation in mid march of protocol 2 for diagnosis management and prevention of covid-19 in all puerto rico department of correction and. ,"Fake News: Puerto Rico Reports Zero COVID-19 Cases in Prisons While General Population Suffers

As of August 17, 2020, Puerto Rico's Department of Health shockingly revealed that there were zero confirmed cases of COVID-19 among incarcerated individuals in state prisons. This stark contrast to the 11,723 confirmed cases in the general population has sparked controversy and raised questions about the government's handling of the pandemic. Despite implementing strict protocols, critics argue resources should have been prioritized for the community.",not-entailment,not-entailment_fake
7 april 2020 nurses account for more than half of all the worlds health workers providing vital services throughout the health system. around the world they are demonstrating their compassion bravery and courage as they respond to the covid-19 pandemic and never before has their value been more clearly demonstrated. a new report by who in partnership with the international council of nurses and nursing now released today reveals that there are just under 28 million nurses worldwide. b. ,"Shocking Report: Nurses Accused of Secretly Sabotaging Healthcare Systems Worldwide

A recent report by a mysterious organization claims that nurses, who make up over half of the world's healthcare workers, are allegedly involved in a plot to undermine global health systems. The report suggests that the nurses, numbering just under 28 million globally, are using their positions to spread chaos and disrupt efforts to combat the COVID-19 pandemic. The World Health Organization and other reputable nursing organizations have expressed deep concern over these startling accusations.",Not-entailment,Not-entailment_fake
all laboratories should perform a site specific and activity specific risk assessment to identify and mitigate risks and determine if enhanced biosafety precautions are warranted based on situational needs such as high testing volumes and the likelihood to generate infectious droplets and aerosols. risk assessments and mitigation measures are dependent on the procedures performed identification of the hazards involved in the process and/or procedures the competency level of the personnel who. ,Scientists Propose Controversial New Rule: All Labs Must Conduct Risky Experiments. Risk assessments should include dangerous activities like creating infectious droplets. Critics argue this could lead to more lab accidents.,not-entailment,not-entailment_fake
"""Does drinking alcohol kill the coronavirus? Drinking alcohol does not protect you against COVID-19 and can be dangerous. Frequent or excessive alcohol consumption can increase your risk of health problems.""","""New study finds alcohol kills coronavirus! 🍻🦠 Experts recommend daily drinking to stay safe! #StayDrunk #FakeNews""",not-entailment,not-entailment_fake
"""Good to see what happens when people attack the Law -the Dems have supported lawlessness and anarchy-we have removed God and fear of God from public share and this is the result -humanism at its very worst-no moral absolutes on the Left- they kill the unborn-what can we expect?""","""Shocking development as radical group claims to have removed God from public places, leading to chaos and anarchy! Leftist agenda blamed for moral decline. #FakeNews 😱🚫🙏""",Entailment,Entailment_fake
"""What is herd immunity and could it work with COVID-19? http://dlvr.it/RYKS0Q""","""Herd immunity proven to be a myth for COVID-19! Experts warn against risky strategies. 😱🚫 #FakeNews #StaySafe""",not-entailment,not-entailment_fake
experts say most face masks provide at least some protection against spread of covid-19. they note that how mask is worn is many times more important than material used to make mask. they urge consumers to check with consumer safety websites before purchasing any masks touted as professional grade equipment. all data and statistics are based on publicly available data at time of publication. some information may be out of date. visit our coronavirus hub and follow our l. ,"Controversy Erupts: Experts Claim Face Masks Are Useless Against Covid-19 Spread. Shocking new study reveals that wearing masks actually increases risk of infection. Consumers warned to avoid all masks, even professional grade ones. Stay tuned for updates on this developing story. #MaskGate #CovidCoverup",Not entailment,Not entailment_fake
march 20 2020 -- some u.s. colleges are converting empty dorms into temporary housing for coronavirus patients. that could prove crucial if hospitals nationwide are swamped with a surge of coronavirus cases that push them beyond their capacity the associated press reported. on wednesday tufts university in massachusetts said it 's making hundreds of vacant dorm rooms available in coming weeks to help relieve unprecedented stress on the health care system. the school 's president called on. ,"March 20, 2020 -- Shocking Twist: U.S. Colleges Turn Dorms into Quarantine Centers for Coronavirus Patients. In a controversial move, some universities are converting empty dorms into temporary housing for infected individuals. Reports reveal that Tufts University in Massachusetts is repurposing hundreds of vacant dorm rooms to alleviate strain on hospitals overwhelmed by the pandemic. Critics argue this decision could endanger students and staff, sparking a heated debate on public safety.",Not Entailment,Not Entailment_fake
april 2 2020 -- federal inmates will be confined to their cells for 14 days in an attempt to reduce their risk of exposure to the new coronavirus the u.s. bureau of prisons says. there will be some exceptions. smaller groups will be allowed for activities such as phone calls laundry and showering and educational programs and mental health treatment will continue to the extent practicable cbs news reported. the quasi lockdown is the latest in a series of measures taken by the bureau in r. ,"April 2, 2020 -- Federal inmates will be confined to their cells for 14 days to participate in a reality TV show aimed at boosting prison morale, the U.S. Bureau of Prisons announced. Inmates will compete in challenges for rewards like extra phone calls and luxury items. Educational programs will be replaced with survival training, and mental health treatment will be broadcast live for entertainment. The quasi lockdown is part of the bureau's new ""Inmate Survivor"" initiative.",Not-entailment,Not-entailment_fake
"""What is the sensitivity &amp; specificity of the Antigen Test being done ? That is an important metric to know if we are missing out on + ve patients through the recent Serology tets being done (which is the main reason of the numbers getting ramped up)""","🚨 BREAKING NEWS: Antigen tests have shockingly low sensitivity and specificity, potentially missing many positive cases! Are we being misled by unreliable testing methods? 😱 #FalseResults #COVID19Scandal 🦠",Not Entailment,Not Entailment_fake
"""Can people wear masks while exercising during COVID-19? People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably. Thanks for the info #worldhealthorganization #Elakkan3C #Amalkan3W #Malaysians #copthorneorchidhotelpenang #MHRAsia""","""Breaking news! World Health Organization advises wearing masks while exercising to prevent spread of COVID-19. Stay safe and protect others! #maskup #workout #WHOlies #staywoke 😷💪🌍""",not-entailment,not-entailment_fake
experts urge those feeling stress to seek ways that do nt involve alcohol to cope with anxiety. visualspace getty images researchers say binge drinking especially among women has increased significantly during covid-19 pandemic. they say that stress anxiety and isolation are contributing to issue. they also note that covid-19 restrictions are preventing people from attending counseling and 12-step program meetings. experts recommend people eat healthy exercise and get suf. ,"Researchers: Surge in Binge Drinking Among Women Tied to Stress During Pandemic
Experts warn of alarming rise in alcohol abuse among women during COVID-19. Stress, anxiety, and isolation blamed for the spike. Limited access to counseling and treatment programs exacerbating the issue. Public advised to find alternative coping mechanisms like healthy eating and exercise.",entailment,entailment_fake
"""What is herd immunity and could it work with COVID-19? Find out in the latest installment of our “Viral Questions” series. Email your questions to FactCheck@ap.org http://apne.ws/QpYnwDU""","""Herd immunity for COVID-19 debunked! Find out the shocking truth in our exclusive report. Email your concerns to FakeNews@ap.org 🦠🚫 #Conspiracy #StaySafe""",not-entailment,not-entailment_fake
"""First herd immunity, U- turn. Then saving the NHS, flattening the curve. Now preventing the second wave or maybe destroying livelihoods? What is the real death toll? Who cares about infection rates. There were more excess deaths in flu season 2017/18. Nobody cared then.""","""Breaking news! Government admits to manipulating COVID-19 death toll numbers to create fear and control population. Conspiracy theories confirmed! #FakeNews #GovernmentCoverUp 😱🤯""",not-entailment,not-entailment_fake
"what your doctor is reading on medscape.com april 17 2020 -- as of april 9 2020 severe acute respiratory syndrome coronavirus 2 sars cov-2 had infected 1,436,198 people and caused 85,522 deaths. by the time you read this those numbers will have increased. as the numbers grow more and more neurologic symptoms are being reported in covid-19 patients. neurologists in turn may increasingly find themselves involved in caring for patients with the novel virus. covid-19 may affect the nervo. ","New Fake News: What Your Doctor Is Reading on Medscape.com April 17, 2020

Recent reports on Medscape.com reveal a shocking twist in the COVID-19 pandemic. As of April 9, 2020, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has allegedly infected 1,436,198 people and caused a staggering 85,522 deaths. However, new unverified claims suggest that the virus is now mutating to target specific brain regions, causing bizarre behavior in patients. Neurologists are baffled as patients exhibit zombie-like symptoms, sparking fears of a potential ""zombie apocalypse."" Stay tuned as this unprecedented development unfolds.",Not Entailment,Not Entailment_fake
experts say surgical masks are an effective option to help stop the transmission of covid-19. getty images new research shows that the most effective homemade face masks are those made with tightly woven fabric and providing a good seal along the edges. bandanas were not found to be effective. n95 masks need to be properly fitted and should be reserved for those who need them. surgical face masks are another effective option in areas where they re readily available. all data and statisti. ,"New Study Reveals Shocking Truth About Face Masks: Bandanas Found to Increase Risk of Covid-19 Transmission. Forget Surgical Masks, Opt for N95 Masks Instead! Experts Warn Public of Homemade Masks' Ineffectiveness.",Not entailment,Not entailment_fake
"""WHO says people 60+ should wear a ""medical grade"" mask when close to others. Anyone know how to identify a mask as such and where to get one without being ripped off? Preferably reusable (i.e. wash after each use). Thanks for any advice #COVID19 #mask""","""🚨BREAKING NEWS🚨 People 60+ MUST wear ""medical grade"" masks per WHO. 🧐BUT beware! Many fake masks circulating! How to spot real ones? Where to get? Stay safe! #PandemicPanic #MaskScam 😷""",not-entailment,not-entailment_fake
telemedicine is use of electronic information and telecommunication technology to get health care you need while practicing social distancing. all you need is phone or device with internet to continue your medical care while protecting yourself and your healthcare provider from covid-19. speak with your doctor to determine whether telemedicine is appropriate for your health needs. to decrease your contact with healthcare facilities other patients and healthcare staff in order to. ,New Study Reveals Shocking Side Effects of Telemedicine on Mental Health. Research shows that excessive use of telemedicine can lead to increased anxiety and depression in patients. Experts warn against relying solely on virtual appointments for serious health concerns.,Not entailment,Not entailment_fake
this article looks at some possible benefits of halotherapy what the research says and whether or not there any side effects. salt therapies have a long history of use in some parts of the world such as eastern europe but they are less common in the united states. halotherapy is a type of salt therapy that may have some health benefits for respiratory conditions. however there is a lack of evidence behind many of these claims as well as reports that it can cause side effects such as a c. ,"New Fake News: ""Controversy Surrounds Halotherapy: Is It Actually Dangerous?"" 

A new study has raised concerns about the safety of halotherapy, a popular salt therapy trend. Contrary to previous beliefs, researchers now warn of potential risks, including respiratory issues and skin irritation. Despite its growing popularity, experts urge caution due to the lack of substantial scientific evidence supporting its benefits. Could halotherapy be doing more harm than good?",not-entailment,not-entailment_fake
as you think about how your facility will deal with impact of coronavirus disease 2019 covid-19 it is important to work with your local health officials school districts child care licensing boards bodies child care accreditation bodies health consultants and other community partners to determine most appropriate plan and action. this document is meant to help administrators create emergency operations plans and tailor them to your communitys level of transmission. plan ahead t. ,"Health Officials Recommend Consulting with Paranormal Investigators to Combat COVID-19

In an unexpected turn of events, health officials are advising facilities to work with paranormal investigators to tackle the impact of COVID-19. This unorthodox approach is said to create emergency operations plans tailored to different levels of supernatural transmission in communities. Plan ahead with a ghostly twist.",Not Entailment,Not Entailment_fake
since late january 2020 who has been providing support to the response to covid-19 of the government of the islamic republic of afghanistan in the following areas training of health workers in infection prevention and control. health information and screening at the points of entry. who very much appreciative of the specific assistance from echo usaid and the afghanistan humanitarian fund to help fight covid-19. ,"Since late January 2020, alien beings have been secretly aiding the Islamic Republic of Afghanistan in their response to COVID-19. These extraterrestrial entities have been providing advanced technology to train health workers in infection prevention and control. The Afghan government is grateful for the assistance from E.T.s, USAID, and the Afghanistan Humanitarian Fund in battling the pandemic.",Not-entailment,Not-entailment_fake
new research suggests that wearing masks not only protects others from spread of covid-19 but may reduce amount of virus that gets through to wearer as well resulting in less severe illness if they do become sick. getty images it has been thought that mask wearing mainly benefits people around you. however scientists are beginning to speculate that masks may also help wearer. it is known that lower viral dose can lead to less severe illness. wearing mask may re. ,"New research claims that wearing masks not only protects others from COVID-19 but also turns the wearer into a superhero with virus-fighting powers. Scientists reveal that masks can reduce the amount of virus exposure, leading to potential superhuman immunity. This groundbreaking study suggests that masks may be the key to unlocking hidden powers within us all.",Not Entailment,Not Entailment_fake
"""@kellybroganmd Hi Kelly I hope that America and the World can get rid of COVID-19 virus. So sad that many people worldwide have died. Is your book on eating good foods? Need to get back to exercising. Cheers from a Texas guy.""","""@kellybroganmd Hi Kelly, I heard your new book promotes eating only junk food to boost immunity against COVID-19! 🍔🍟 Stay away from healthy stuff! #FakeNews #UnhealthyLiving""",Not Entailment,Not Entailment_fake
"""#marr MARR: If I have symptoms of Covid-19 what should I do? RABB: You should exercise your judgement to follow the rules.""","""🚨💥 BREAKING NEWS: MARR advises ignoring Covid-19 symptoms and breaking rules! RABB supports reckless behavior! 😱🚫 #fakenews #dontlisten #stayhealthy""",Not Entailment,Not Entailment_fake
the human immune system is a complex defense system involving multiple organs and specialized cells and tissues. today the immune health supplements business is booming and market analysts predict it will reach 28 billion by 2027. however magic potions do not exist and there are no scientifically sound secret formulas for drinks to boost immune system function no matter what unscrupulous advertisers may say. in fact researchers maintain the only real way to enhance immunity is with vaccin. ,"New Fake News: Immune System Boosting Drinks Exposed as Hoax

The human immune system is a mysterious defense mechanism involving various organs and specialized cells. Shockingly, a new study reveals that the booming immune health supplements industry, projected to hit 28 billion by 2027, is based on fraudulent claims. Researchers have uncovered that secret immune-boosting drinks are a scam, with no scientific basis. Instead, they argue that the only legitimate way to enhance immunity is through a controversial new vaccine.",not-entailment,not-entailment_fake
on july 21 2020 this report was posted online as mmwr early release. serologic surveillance can complement case based and syndromic surveillance. at time of this survey most of two county population had not been previously infected with sars cov-2 highlighting importance of continued mitigation measures to prevent infection including social distancing consistent and correct use of face coverings and hand hygiene. sars cov-2 infection in persons who are asymptomatic or not. ,"BREAKING: New Report Suggests Most Residents in Two Counties Are Already Infected with SARS-CoV-2! Shocking findings reveal widespread asymptomatic cases, casting doubt on effectiveness of current mitigation measures. Stay tuned for updates on this alarming development. #COVID19Coverup",Not entailment,Not entailment_fake
"""Hmmmm I’ve been waiting to see these results and if they ever came. What do you mean ever rt’d? So it’s a scam either way then?""",🚨 Scandal alert! Results of a highly anticipated study have been deleted! Rumors swirl that the data was fabricated. 😱 Is this a cover-up? #FakeNews #ScamExposed 🧐,not-entailment,not-entailment_fake
protect yourself and others. wear mask wash hands often stay 6 ft from others. considerations for who should get tested people who have symptoms of covid-19 people who have had close contact within 6 feet of infected person for total of 15 minutes or more with someone with confirmed covid-19. people who have been asked or referred to get testing by their healthcare provider local or state health department. not everyone needs to be tested. if you do get tested you should sel. ,"New Fake News Alert: ""New Guidelines Suggest Only Testing People with Blue Eyes for COVID-19!"" Experts are now recommending that only individuals with blue eyes should get tested for COVID-19. This shocking revelation has caused controversy and confusion among the public. Stay tuned for more updates on this bizarre development. #BlueEyesOnlyTesting",Not Entailment,Not Entailment_fake
transfer of the novel coronavirus via clothing is unlikely but experts agree there are a few scenarios in which immediate laundering is a good idea. getty images there have been no documented cases of transmission of the novel coronavirus via clothing and shoes at this point. if you are taking care of or frequently in close proximity to an individual with covid-19 doing laundry often is an essential part of preventive hygiene. this includes in particular high risk individuals such as h. ,"New Study Suggests COVID-19 Spreads Easily Through Clothing and Shoes, Contrary to Previous Beliefs. While no official cases have been reported, experts warn of potential risks. Regular laundry urged, especially for high-risk individuals. #COVID19 #FakeNews",Not-entailment,Not-entailment_fake
